online	datestart	dateend	label	name	shortname	hashtag	homepage	city	country	venue	OSM-Link	coclink	Self-description	cfpdate	cfplink	type	tags	lat	lng	EntranceFee	ParticipantsLastTime	language	approved
yes	20190117	20190117	Connected Smart Cities Conference	Connected Smart Cities Conference	CSCC	CSCC19	https://oasc.events.idloom.com/connected-smart-cities-conference-2019	Brussels	BE		https://www.openstreetmap.org/way/524776763												
yes	20190126	20190127	DevConf.cz	DevConf.cz			https://devconf.info/cz/2019	Brno	CZ		https://www.openstreetmap.org/way/387444374	https://www.devconf.info/coc		20181101	https://cfp.devconf.info/					0			
yes	20190203	20190204	FOSDEM	Free and Open Source Software Developers European Meeting	FOSDEM	fosdem	https://fosdem.org/2019/	Brussels	BE	Université Libre Bruxelles	https://www.openstreetmap.org/?mlat=50.81295&mlon=4.38002#map=18/50.81295/4.38002	https://fosdem.org/2018/practical/conduct/	<p>FOSDEM is a free event for software developers to meet, share ideas and collaborate.</p> <p>Every year, thousands of developers of free and open source software from all over the world gather at the event in Brussels.</p>	20181013	https://fosdem.org/2019/news/2018-08-10-call-for-participation/	Conference,Community	development,security	50.81328	4.37943	0	7500		yes
yes	20190204	20190204	CopyleftConf	First Annual International Copyleft Conference	CopyleftConf		https://2019.copyleftconf.org/	Brussels	BE	DigitYser	https://www.openstreetmap.org/node/5541781930	https://2019.copyleftconf.org/code-of-conduct								0			
yes	20190204	20190206	Config Management Camp	Configuration Management Camp	CfgMgmtCamp		https://cfgmgmtcamp.eu/	Gent	BE	HoGent - Campus SchoonMeersen	https://www.openstreetmap.org/?mlat=51.03425&mlon=3.70149#map=19/51.03425/3.70149	https://cfgmgmtcamp.eu/ghent2020/codeofconduct/											
yes	20190214	20190214	I love Free Software Day around the globe			IloveFS	https://ilovefs.org/																
yes	20190215	20190217	Drupalcamp				https://paris2019.drupal.fr/	Paris	FR	Espace Saint-Martin	https://www.openstreetmap.org/?mlat=48.86336&mlon=2.35238#map=19/48.86336/2.35238	https://paris2019.drupal.fr/	Cet événement est organisé bénévolement par et pour la communauté Drupal. Il est porté administrativement et financièrement par l'association Drupal France et Francophonie.										
yes	20190223	20190223	Winterkongress	Winterkongress der Digitalen Gesellschaft			https://www.digitale-gesellschaft.ch/kongress/2019/	Zurich	CH	Zentrum Karl der Grosse	https://www.openstreetmap.org/node/317774611												
yes	20190301	20190304	Faqin				https://www.faqin.org/	Madrid	ES	secret			<p>The FAQin Congress is a free to attend, self-maintained, community-driven, sponsor-free event</p><p>Faqin encourages creativity and enables attendants to interact with each other in developing their own knowledge and exploring, showing, teaching, learning, sharing, *.* types of hacking.</p><p>We don't buy nor sell anything.</p>									EN	
yes	20190302	20190302	IV Congrés de Sobirania Tecnològica				http://sobtec.cat/	Barcelona	ES		https://www.openstreetmap.org/?mlat=41.3730&mlon=2.1366#map=15/41.3730/2.1366												
