approved	datestart	dateend	label	name	shortname	hashtag	homepage	city	country	venue	OSM-Link	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Twitter	Facebook	Mastodong
yes	20200123	20200123	Connected Smart Cities Conference	Connected Smart Cities Conference	CSCC	CSCC19	https://oascities.org/event/connected-smart-cities-conference-2020/	Brussels	BE	--	--	--	The Connected Smart Cities Conference 2020 (CSCC) is the annual community event organised by Open & Agile Smart Cities. CSCC brings together city representatives, companies, research, and policy-makers to discuss the state of smart cities & communities and how to make smart cities open, interoperable and more sustainable.	--	--	Conference,Exhibition	Policy,Sustainability,Smart City,Interoperability	--	yes	--	EN			
yes	20200124	20200126	DevConf.cz	DevConf.cz	--	--	https://www.devconf.info/cz/	Brno	CZ	Faculty of Information Technology	https://www.openstreetmap.org/#map=17/49.22693/16.59662	https://www.devconf.info/coc	DevConf.CZ 2020 is the 12th annual, free, Red Hat sponsored community conference for developers, admins, DevOps engineers, testers, documentation writers and other contributors to open source technologies. The conference includes topics on Linux, Middleware, Virtualization, Storage, Cloud and mobile. At DevConf.CZ, FLOSS communities sync, share, and hack on upstream projects together in the beautiful city of Brno, Czech Republic.	20191101	https://cfp.devconf.info/	Conference,Community	Red Hat	0	yes	--	EN			
yes	20200131	20200131	CHAOSScon Europe	CHAOSScon Europe 2020	--	--	https://chaoss.community/chaosscon-2020-eu/	Brussels	BE	Hotel ibis Brussels City Centre	https://www.openstreetmap.org/node/3929554270	https://github.com/chaoss/governance/blob/master/code-of-conduct.md	Learn about open source project health metrics and tools used by open source projects, communities, and engineering teams to track and analyze their community work. This conference will provide a venue for discussing open source project health, CHAOSS updates, use cases, and hands-on workshops for developers, community managers, project managers, and anyone interested in measuring open source project health. We will also share insights from the CHAOSS working groups on Diversity and Inclusion, Evolution, Risk, Value, and Common Metrics.	20191130	https://forms.gle/BntnBffNHHQwuQDE6	Conference,Community	--	0	--	--	EN			
yes	20200201	20200202	FOSDEM	Free and Open Source Software Developers European Meeting	FOSDEM	fosdem, fosdem20	https://fosdem.org/2019/	Brussels	BE	Université Libre Bruxelles	https://www.openstreetmap.org/?mlat=50.81295&mlon=4.38002#map=18/50.81295/4.38002	https://fosdem.org/2018/practical/conduct/	<p>FOSDEM is a free event for software developers to meet, share ideas and collaborate.</p> <p>Every year, thousands of developers of free and open source software from all over the world gather at the event in Brussels.</p>	20191108	https://fosdem.org/2020/news/2019-08-13-call-for-participation/	Conference,Community	Development,Security	0	--	7500	EN			
yes	20200203	20200203	CopyleftConf	Second Annual International Copyleft Conference	CopyleftConf	--	https://2020.copyleftconf.org/	Brussels	BE	La Tricoterie	https://www.openstreetmap.org/way/225596975	https://2020.copyleftconf.org/code-of-conduct	This will be the second annual International Copyleft Conference. Participants from throughout the copyleft world — developers, strategists, enforcement organizations, scholars and critics — will be welcomed for an in-depth, high bandwidth, and expert-level discussion about the day-to-day details of using copyleft licensing, obstacles facing copyleft and the future of copyleft as a strategy to advance and defend software freedom for users and developers around the world.	20191103	https://2020.copyleftconf.org/program/call-for-proposals	Conference,Community	Copyleft	0	--	150	EN			
yes	20200203	20200205	Config Management Camp	Configuration Management Camp	CfgMgmtCamp	--	https://cfgmgmtcamp.eu/	Gent	BE	HoGent - Campus SchoonMeersen	https://www.openstreetmap.org/?mlat=51.03425&mlon=3.70149#map=19/51.03425/3.70149	https://cfgmgmtcamp.eu/ghent2020/codeofconduct/	Configuration Management Camp is the event for technologists interested Open Source Infrastructure automation and related topics. This includes but is not limited to top Open Source Configuration Management, Provisioning, Orchestration, Choreography, Container Operations, and many more topics.	20191103	https://cfp.cfgmgmtcamp.be/2020/cfp	Conference,Community	Infrastructure,Configuration Management	--	--	--	--			
yes	20200214	20200214	I love Free Software Day	I love Free Software Day	IloveFS-day	IloveFS	https://ilovefs.org/	--	--	--	--	--	--	--	--	Global Day	--	--	--	--	--			
--	20190215	20190217	Drupalcamp	Drupalcamp	--	--	https://paris2019.drupal.fr/	Paris	FR	Espace Saint-Martin	https://www.openstreetmap.org/?mlat=48.86336&mlon=2.35238#map=19/48.86336/2.35238	https://paris2019.drupal.fr/	Cet événement est organisé bénévolement par et pour la communauté Drupal. Il est porté administrativement et financièrement par l'association Drupal France et Francophonie.	--	--	--	--	--	--	--	--			
--	20190223	20190223	Winterkongress	Winterkongress der Digitalen Gesellschaft	--	--	https://www.digitale-gesellschaft.ch/kongress/2019/	Zurich	CH	Zentrum Karl der Grosse	https://www.openstreetmap.org/node/317774611	--	--	--	--	--	--	--	--	--	--			
--	20190301	20190304	Faqin	Faqin	--	--	https://www.faqin.org/	Madrid	ES	hidden	--	--	<p>The FAQin Congress is a free to attend, self-maintained, community-driven, sponsor-free event</p><p>Faqin encourages creativity and enables attendants to interact with each other in developing their own knowledge and exploring, showing, teaching, learning, sharing, *.* types of hacking.</p><p>We don't buy nor sell anything.</p>	--	--	--	--	--	--	--	EN			
