id	approved	datestart	dateend	label	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube		cancelled	replacement	replaces	cancellation_description
All data in this file is published as Open Data, you are free to reuse it as long as you credit “// foss.events” and you republish the data under the same licence. Read the details at: https://foss.events/about.html#datalicense																																																
																																																
																																																
21002	unlikely	20200123	20200123	Connected Smart Cities Conference	Connected Smart Cities Conference	CSCC	CSCC20	https://oasc.events.idloom.com/connected-smart-cities-conference-2020			Brussels	BE	The EGG	https://www.openstreetmap.org/way/524776763	50.83318	4.32705	nococ	The Connected Smart Cities Conference 2020 (CSCC) is the annual community event organised by Open & Agile Smart Cities. CSCC brings together city representatives, companies, research, and policy-makers to discuss the state of smart cities & communities and how to make smart cities open, interoperable and more sustainable.	nada	nada	Policy Event,Exhibition	Policy,Sustainability,Smart City	249 €	https://oasc.events.idloom.com/connected-smart-cities-conference-2020/register	?	EN	Open & Agile Smart Cities	Representatives of European institutions, such as the European Commission, the European Parliament, or the European Council, and international institutions, such as the United Nations, receive free access to the Connected Smart Cities & Communities Conference on 23 January 2020. For more information, please contact cscc@oascities.org.			Scale with us					no	no											
1638149135	yes	20220128	20220129	DevConf.cz	DevConf.cz		devconf_cz	https://www.devconf.info/cz/	online				On the internet				https://www.devconf.info/coc	<p>DevConf.CZ 2022 is the 14th annual, free, Red Hat sponsored virtual community conference for developers, admins, DevOps engineers, testers, documentation writers and other contributors to open source technologies. The conference includes topics on Linux, Middleware, Virtualization, Storage, Cloud and mobile. At DevConf.CZ, FLOSS communities sync, share, and hack on upstream projects together.</p><p>While we are disappointed that we won’t be able to see you all in person, we're shifting to an awesome virtual event in 2021!</p><p>There is no admission or ticket charge for DevConf.CZ events. However, you are required to complete a free registration. Watch this site for updates about registration.</p><p>We are committed to fostering an open and welcoming environment at our conference. We set expectations for inclusive behavior through our code of conduct and media policies, and are prepared to enforce these.</p>	20211001	https://cfp.devconf.info/	Community Event	Red Hat	Zero	yes	?	EN	Red Hat		2009	Red Hat 		?	?	?	?	https://twitter.com/devconf_cz		https://t.me/devconfcz	https://github.com/devconfcz/devconf		https://www.youtube.com/channel/UCmYAQDZIQGm_kPvemBc_qwg							
																																																
21005		20200130	20200130	Sustain Summit	Sustain Summit 2020	Sustain	sustainoss	https://sustainoss.org/			Brussels	BE	La Tricoterie	https://www.openstreetmap.org/way/225596975	50.83017	4.33658	https://sustainoss.org/code-of-conduct/	<p>A one-day event for open source sustainers</p><p>Sustain Summit events are led by a facilitator. There are no keynotes, talks, or sponsor demos. Your undivided attention is required. Phones and laptops should not be used throughout the day and you will be asked to put devices away if they are a distraction to you or anyone else.</p><p>When we talk about sustainability, we are talking both and equally about the sustainability of resources and the sustainability of its people. We hope you can join us for the conversation.</p>	nada	nada	Unconference	Sustainability	100 €	Invitiation only.	100	EN	Individual Sustainers	Travel support available								https://twitter.com/SustainOSS	no		https://github.com/sustainers									
																																																
21007		20200130	20200131	XMPP Summit	24th XMPP Summit			https://wiki.xmpp.org/web/Conferences/Summit_24			Brussels	BE					nococ	The XMPP Standards Foundation (XSF) will hold its 24th XMPP Summit in the two days preceding FOSDEM 2020, January 30th & 31st. To participate in this (or any future summit), please join the summit@xmpp.org discussion list and ask for an account in this Wiki, so you can add yourself (and/or colleagues) to the list in this page.	open	https://wiki.xmpp.org/web/Conferences/Summit_24	Project Event	XMPP	Zero	no	?	EN	XMPP Hackers									no	no											
21008		20200131	20200131	Pre-FOSDEM Community Meeting	European Free Software Pre-FOSDEM Community Meeting 2020			https://registration.fsfe.org/Pre-FOSDEM-2020			Brussels	BE	MundoB	https://www.openstreetmap.org/way/139078492	50.83787	4.36432	https://fsfe.org/about/codeofconduct	The Free Software Foundation Europe will bring together the key Free Software groups of Europe a day before the FOSDEM event, in order to network and get an overview about activities of Free Software groups from all over Europe.			Community Event	FSFE,europe,Free Software	Zero	https://registration.fsfe.org/Pre-FOSDEM-2020	60	EN	Free Software Foundation Europe																					
21009	unlikely	20200131	20200131	CHAOSScon Europe	CHAOSScon Europe 2020	CHAOSSCon	CHAOSSCon	https://chaoss.community/chaosscon-2020-eu/			Brussels	BE	Hotel ibis Brussels City Centre	https://www.openstreetmap.org/node/3929554270	50.85057	4.34933	https://github.com/chaoss/governance/blob/master/code-of-conduct.md	Learn about open source project health metrics and tools used by open source projects, communities, and engineering teams to track and analyze their community work. This conference will provide a venue for discussing open source project health, CHAOSS updates, use cases, and hands-on workshops for developers, community managers, project managers, and anyone interested in measuring open source project health. We will also share insights from the CHAOSS working groups on Diversity and Inclusion, Evolution, Risk, Value, and Common Metrics.	20191130	https://forms.gle/BntnBffNHHQwuQDE6	Community Event	Metrics, Community Management, Analytics	10 $	https://www.eventbrite.com/e/chaosscon-europe-2020-tickets-76515900117	80	EN	Linux Foundation									https://twitter.com/CHAOSSproj	no											
