datestart	dateend	label	name	shortname	hashtag	homepage	type	tags	venue	city	country	lat	lng	OSM-Link	EntranceFee	ParticipantsLastTime	cfpdate	cfplink	coclink	language	approved	description
20190203	20190204	FOSDEM	Free and Open Source Software Developers European Meeting	FOSDEM	fosdem	https://fosdem.org/2019/	Conference,Community	development,security	Université Libre Bruxelles	Brussels	BE	50.81328	4.37943	https://www.openstreetmap.org/?mlat=50.81295&mlon=4.38002#map=18/50.81295/4.38002	0	7500	20181013	https://fosdem.org/2019/news/2018-08-10-call-for-participation/	https://fosdem.org/2018/practical/conduct/		yes	<p>FOSDEM is a free event for software developers to meet, share ideas and collaborate.</p> <p>Every year, thousands of developers of free and open source software from all over the world gather at the event in Brussels.</p>
20190401	20190403	Collaborations Workshop	Collaborations Workshop 2019							Loughborough	UK											
20190401	20190405	Internet Freedom Festival	Internet Freedom Festival	IFF						Valencia	ES											
20190406	20190406	Linux InfoTag	Linux InfoTag							Augsburg	DE						20190324	https://frab.luga.de/en/LIT2019/cfp/				
20190406	20190406	Open Education Day	Open Education Day							Bern	CH											
20190406	20190407	Les Journées du Logiciel Libre	Les Journées du Logiciel Libre							Lyon	FR						20190214	https://jdll.org/participer				
20190406	20190407	16th Linux Session 	16th Linux Session 							Wrocław	PL						open	https://16.sesja.linuksowa.pl/en#cfp				
20190407	20190410	foss-north	foss-north							Gothenburg	SE						20190224	https://foss-north.se/2019/contribute.html#call-for-papers				
20190410	20190412	DjangoCon Europe	DjangoCon Europe							Copenhagen	DK						20190120	https://2019.djangocon.eu/cfp/				
20190418	20190419	DORS/CLUC	DORS/CLUC							Zagreb	HR						20190309	https://2019.dorscluc.org/talk-workshop-applications/				
20190419	20190422	Easterhegg	Easterhegg							Vienna	AU						20190225	https://conference.c3w.at/eh19/cfp				
20190426	20190427	Grazer LinuxTage	Grazer LinuxTage							Graz	AU						20190217	https://pretalx.linuxtage.at/glt19/cfp				
20190426	20190427	Linuxwochen	Linuxwochen							Eisenstadt	AT						open	https://www.linuxwochen.at/linuxwochen-eisenstadt-summary				
20190427	20190427	FLISOL	Festival Latinoamericano de Instalación de Software Libre																			
20190502	20190504		LinuxWochenWien							Vienna	AT											
20190504	20190505	FOSSA	Free and Open Source Software Auditing 	EU-FOSSA2	FOSSA	https://eufossahackathon.bemyapp.com/	Hackathon,Public Administration		Silversquare Europe	Brussels	BE	50.84074	4.36903	https://www.openstreetmap.org/node/2656943066	0	50	open	https://www.openstreetmap.org/node/2656943066	No		yes	The next EU-FOSSA 2 Hackathon, on 4/5th May, has broadened its scope. It will still have a large focus on Apache Tomcat, but will now also include other communities under the Apache Software Foundation (ASF). Aditionally, the Hackathon will be offering training sessions on some of the latest ASF projects.
20190504	20190504		Libertybits							Sofia	BG											
20190506	20190512		Drupalcamp Spain			https://2019.drupalcamp.es/				Conil	ES						open	https://docs.google.com/forms/d/e/1FAIpQLScxHHPbOIin_6N0Oeft9aqVQN8iUo9JZREk_VqPwGbHvVuaLg/viewform				
20190511	20190511		T-Dose							Eindhoven	NL						20190401	http://www.t-dose.org/2019/cfp				
20190517	20190519		Wikimedia Hackathon							Prague	CZ											
20190518	20190519		Open Source Conference Albania							Tirana	SQ						20190401	https://oscal.openlabs.cc/call-for-proposals/				
20190520	20190523		KubeCon + CloudNativeCon Europe							Barcelona	ES											
20190524	20190525		OpenSouthCode							Malaga	ES						20190303	https://www.opensouthcode.org/conferences/opensouthcode2019#callforpapers				
20190524	20190526		OpenSUSE Conference							Nürnberg	DE											
20190529	20190502		Libre Graphics Meeting							Saarbrücken	DE						20190123	https://libregraphicsmeeting.org/2019/call-for-participation/				
20190530	20190530		OpenTechSummit							Berlin	DE											
20190530	20190602		Gulaschprogrammiernacht		GPN19					Karlsruhe	DE											
20190530	20190602		Toulouse Hacker Space Factory							Toulouse	FR						20190315	https://www.thsf.net/				
20190531	20190602		Hackmeeting							Florence	FR						open	https://hackmeeting.org/hackit19/schedule.en.html				
20190518	20190519		Linuxwochen							Linz	AT						20190704	https://www.linuxwochen-linz.at/2019/home/				
20190604	20190606		drRSE19							Potsdam	DE						20190228	https://derse19.uni-jena.de/derse19/				
20190608	20190609		TuxCon							Plovdiv							open					
20190612	20190613		OW2Con							Paris	FR						20190317	https://www.ow2con.org/view/2019/Call_For_Presentations?year=2019&event=OW2con19				
20190620	20190620		OpenExpo							Madrid	ES						20190303	https://openexpoeurope.com/oe2019/call4papers/?utm_source=Meetup				
20190620	20190620	Open Expo	OpenExpo Europe	OpenExpo	OpenExpo19	https://openexpoeurope.com/	Business,Conference,Fair	trends	La N@ve	Madrid	ES	40.34747	-3.69662	https://www.openstreetmap.org/way/37995038	40	3500	20190317	https://openexpoeurope.com/oe2019/call4papers/	No		yes	An Open-IT fair that also runs Open Awards
20190620	20190622		WordCamp Europe							Berlin	DE						20190107	https://apply.wp-europe.org/				
20190701	20190703	Pass the SALT	Pass the SALT			https://2019.pass-the-salt.org/	Conference,Community	security	Polytech Lille	Lille	FR	50.60774	3.13634	https://www.openstreetmap.org/way/79509053	0		20190331	https://cfp.pass-the-salt.org/	https://2019.pass-the-salt.org/code-of-conduct/	EN	yes	
20190706	20190706	Tübix	Tübix			http://tuebix.org	Conference,Community		Gebäude auf dem Sand	Tübingen	DE	48.53448	9.07103	https://www.openstreetmap.org/way/8044916#map=17/48.53476/9.07111	0		20190501	https://www.tuebix.org/callforpapers/		DE	yes	
20190725	20190728	Camp++	Camp++			https://camp.hsbp.org/2019/pp7e3/	Conference,Community,Camp		Fort Monostor	Komárom	HU	47.7506	18.0939	https://www.openstreetmap.org/?mlat=47.750556&mlon=18.093889&zoom=15#map=15/47.7506/18.0939	calculated among participants		20190524	https://camp.hsbp.org/2019/pp7e3/cfp.html			yes	
20190808	20190815		Bornhack			https://bornhack.dk/bornhack-2019/											20190601	https://bornhack.dk/bornhack-2019/program/call-for-participation/				
